status_id,player_id,match_id,points,assists,blocks
100,962,9,20,0,2
101,965,9,19,16,10
102,967,9,6,7,10
103,500,9,25,6,5
104,494,9,12,7,4
105,497,9,13,1,4
106,496,9,12,12,3
107,491,9,2,15,8
108,498,9,2,19,7
109,624,10,25,12,8
110,625,10,6,16,4
111,628,10,7,3,6
112,627,10,22,3,9
113,623,10,26,9,8
114,629,10,2,16,8
115,412,10,4,10,3
116,419,10,15,13,10
117,420,10,22,12,10
118,414,10,12,14,4
119,417,10,24,13,2
120,415,10,17,10,3
121,187,11,6,20,0
122,186,11,9,10,7
123,181,11,18,8,9
124,182,11,29,20,2
125,190,11,17,4,7
126,185,11,7,6,4
127,899,11,22,18,2
128,892,11,5,9,8
129,900,11,29,12,4
130,894,11,26,4,7
131,897,11,12,7,3
132,895,11,0,12,1
133,695,12,24,5,8
134,696,12,19,20,8
135,699,12,26,19,2
136,694,12,10,3,9
137,693,12,19,20,4
138,691,12,25,18,4
139,667,12,26,1,10
140,670,12,20,14,10
141,664,12,19,3,0
142,661,12,7,14,0
143,665,12,22,20,8
144,668,12,17,19,4
145,170,13,22,16,6
146,165,13,17,17,6
147,168,13,20,3,10
148,161,13,18,18,0
149,169,13,6,14,4
150,163,13,21,7,7
151,142,13,30,2,10
152,145,13,18,15,2
153,141,13,13,17,10
154,146,13,6,1,0
155,143,13,0,2,6
156,149,13,23,2,3
157,83,14,20,6,2
158,86,14,28,0,1
159,87,14,15,19,3
160,81,14,30,17,8
161,90,14,20,6,7
162,88,14,25,7,1
163,834,14,24,2,4
164,837,14,10,3,8
165,833,14,13,8,0
166,835,14,18,3,7
167,839,14,8,20,0
168,836,14,27,1,10
169,983,15,9,10,10
170,985,15,6,4,1
171,981,15,4,19,6
172,982,15,13,8,7
173,988,15,25,10,8
174,987,15,18,2,0
175,667,15,15,8,4
176,665,15,20,17,10
177,666,15,4,20,9
178,663,15,18,10,8
179,669,15,29,10,4
180,664,15,22,14,0
181,4,16,30,1,2
182,7,16,25,7,6
183,9,16,16,1,0
184,5,16,24,3,8
185,1,16,16,14,9
186,6,16,7,5,2
187,601,16,17,19,4
188,603,16,17,19,8
189,609,16,3,2,1
190,602,16,7,9,0
191,606,16,14,8,7
192,610,16,13,18,2
193,865,17,29,2,9
194,869,17,14,7,8
195,867,17,22,2,0
196,862,17,11,19,0
197,870,17,7,2,3
198,868,17,6,8,6
199,969,17,5,20,5
200,965,17,10,18,9
201,968,17,26,16,7
202,970,17,14,8,10
203,964,17,27,9,3
204,961,17,23,4,8
205,111,18,10,17,2
206,112,18,1,6,1
207,115,18,15,16,9
208,119,18,13,13,9
209,114,18,25,1,0
210,116,18,2,6,2
211,638,18,5,4,0
212,636,18,3,4,6
213,632,18,12,10,0
214,639,18,13,18,6
215,634,18,5,19,0
216,635,18,18,3,6
217,561,19,13,7,5
218,562,19,7,3,0
219,567,19,7,10,1
220,570,19,22,8,9
221,566,19,2,13,8
222,564,19,0,2,8
223,417,19,14,0,4
224,420,19,5,0,8
225,411,19,9,8,6
226,413,19,5,4,6
227,418,19,29,14,6
228,415,19,13,13,2
229,402,20,2,5,8
230,404,20,20,14,0
231,406,20,22,15,2
232,405,20,23,11,9
233,403,20,11,16,0
234,409,20,12,5,10
235,470,20,22,0,4
236,466,20,18,10,9
237,463,20,2,4,4
238,465,20,3,2,7
239,467,20,18,8,5
240,469,20,11,9,8
241,774,21,1,13,4
242,776,21,10,0,5
243,780,21,2,11,1
244,773,21,6,13,6
245,771,21,3,16,9
246,775,21,8,5,0
247,644,21,4,20,5
248,646,21,3,19,5
249,648,21,13,10,3
250,647,21,15,7,5
251,641,21,5,4,2
252,650,21,3,13,10
253,953,22,5,20,5
254,955,22,4,3,0
255,951,22,15,1,8
256,954,22,20,13,10
257,957,22,9,4,4
258,959,22,26,7,5
259,154,22,5,0,3
260,155,22,11,0,4
261,153,22,22,5,5
262,159,22,24,4,5
263,157,22,8,7,9
264,151,22,8,4,7
265,706,23,21,20,4
266,704,23,21,2,1
267,707,23,19,11,3
268,701,23,22,6,3
269,709,23,0,3,2
270,710,23,2,18,9
271,652,23,26,4,8
272,655,23,7,17,2
273,656,23,19,10,5
274,653,23,21,18,9
275,660,23,19,14,6
276,651,23,30,15,1
277,518,24,18,10,8
278,517,24,5,16,6
279,514,24,25,1,8
280,515,24,10,18,0
281,513,24,0,6,3
282,520,24,4,0,8
283,191,24,7,10,3
284,193,24,22,8,10
285,198,24,24,5,0
286,196,24,15,16,9
287,194,24,1,11,2
288,200,24,28,3,8
289,288,25,19,20,5
290,289,25,8,14,1
291,287,25,28,3,3
292,284,25,24,1,3
293,285,25,13,12,0
294,282,25,2,10,1
295,274,25,20,4,10
296,273,25,26,6,0
297,271,25,20,2,4
298,277,25,29,5,7
299,276,25,23,10,1
300,278,25,27,10,3
301,507,26,23,1,2
302,505,26,26,18,7
303,510,26,29,2,8
304,504,26,20,9,6
305,509,26,18,18,2
306,501,26,14,10,3
307,398,26,23,2,10
308,391,26,28,11,10
309,400,26,18,12,10
310,395,26,3,10,0
311,393,26,21,10,10
312,399,26,20,5,4
313,744,27,3,19,2
314,748,27,11,15,6
315,742,27,8,20,2
316,747,27,7,6,1
317,750,27,4,4,1
318,749,27,3,7,0
319,977,27,6,19,10
320,971,27,22,14,6
321,974,27,4,2,1
322,980,27,29,3,2
323,976,27,5,3,3
324,978,27,17,16,7
325,688,28,23,10,10
326,690,28,0,2,7
327,683,28,18,9,6
328,682,28,8,6,0
329,689,28,21,16,7
330,687,28,3,0,6
331,303,28,6,13,10
332,308,28,19,0,7
333,302,28,0,11,10
334,304,28,13,13,4
335,305,28,14,5,0
336,310,28,26,15,9
337,855,29,26,5,10
338,860,29,16,15,10
339,852,29,26,2,7
340,859,29,17,17,1
341,858,29,20,2,4
342,853,29,0,1,9
343,315,29,14,18,0
344,313,29,2,0,6
345,312,29,14,14,2
346,314,29,0,7,6
347,311,29,16,14,2
348,319,29,17,4,5
349,885,30,16,1,2
350,882,30,3,6,10
351,888,30,6,9,4
352,889,30,27,0,1
353,881,30,5,17,2
354,890,30,2,6,6
355,374,30,24,15,0
356,379,30,20,0,9
357,373,30,29,18,6
358,380,30,17,19,3
359,378,30,14,13,1
360,375,30,4,19,4
361,837,31,14,0,2
362,838,31,28,4,10
363,835,31,22,0,10
364,836,31,7,1,6
365,831,31,25,9,7
366,833,31,27,1,10
367,391,31,6,13,0
368,392,31,26,2,8
369,399,31,17,10,9
370,396,31,19,18,7
371,397,31,0,18,4
372,400,31,1,13,8
373,305,32,15,19,3
374,304,32,28,12,7
375,309,32,24,1,10
376,307,32,0,1,2
377,302,32,12,20,2
378,308,32,28,16,2
379,221,32,13,14,4
380,227,32,27,8,10
381,222,32,30,1,2
382,229,32,27,19,9
383,223,32,1,8,5
384,226,32,16,19,4
385,302,33,10,7,9
386,301,33,2,10,1
387,310,33,22,20,0
388,304,33,2,13,5
389,308,33,16,19,10
390,309,33,13,14,6
391,29,33,26,18,7
392,25,33,24,19,0
393,23,33,5,4,1
394,30,33,10,19,6
395,27,33,28,15,1
396,26,33,2,12,3
397,34,34,28,11,9
398,40,34,24,19,5
399,37,34,26,20,3
400,39,34,25,15,6
401,33,34,1,20,1
402,31,34,4,10,5
403,210,34,13,16,4
404,204,34,12,8,6
405,209,34,11,11,10
406,205,34,25,8,6
407,208,34,24,4,8
408,206,34,6,11,0
409,225,35,15,19,10
410,226,35,1,6,9
411,227,35,6,1,7
412,221,35,17,0,2
413,223,35,20,6,2
414,230,35,1,11,0
415,76,35,30,3,1
416,79,35,30,5,7
417,74,35,8,16,9
418,78,35,4,8,9
419,77,35,3,8,6
420,71,35,26,9,9
421,844,36,20,6,8
422,848,36,12,2,10
423,850,36,20,8,8
424,847,36,28,6,1
425,846,36,22,9,3
426,843,36,6,1,5
427,437,36,26,18,8
428,433,36,7,10,8
429,432,36,14,8,7
430,439,36,25,18,3
431,436,36,6,4,2
432,438,36,10,13,3
433,721,37,10,12,4
434,726,37,2,11,10
435,729,37,15,14,2
436,722,37,7,1,4
437,730,37,0,13,6
438,727,37,29,17,4
439,465,37,7,3,0
440,469,37,6,8,10
441,466,37,1,3,7
442,470,37,25,10,7
443,463,37,28,9,5
444,462,37,1,2,8
445,414,38,15,12,1
446,412,38,15,11,10
447,415,38,26,1,6
448,413,38,8,18,1
449,411,38,27,15,8
450,418,38,9,19,7
451,720,38,20,4,10
452,719,38,11,4,8
453,718,38,19,3,10
454,711,38,8,19,5
455,713,38,22,7,6
456,714,38,17,18,2
457,601,39,15,13,4
458,604,39,0,2,10
459,603,39,5,7,9
460,610,39,12,13,5
461,607,39,24,2,5
462,602,39,6,1,8
463,24,39,22,12,3
464,23,39,29,10,4
465,25,39,16,16,2
466,21,39,6,9,5
467,29,39,16,13,4
468,22,39,9,5,10
469,571,40,30,13,4
470,575,40,28,16,8
471,576,40,17,5,2
472,577,40,6,12,2
473,580,40,25,16,5
474,572,40,9,13,8
475,466,40,22,16,2
476,465,40,19,1,8
477,467,40,18,7,10
478,470,40,12,3,2
479,469,40,14,1,10
480,463,40,5,15,5
481,453,41,5,6,8
482,456,41,5,10,4
483,458,41,1,17,2
484,460,41,6,16,4
485,455,41,28,19,9
486,452,41,7,6,3
487,848,41,20,4,0
488,849,41,3,17,5
489,850,41,21,17,2
490,843,41,27,17,10
491,845,41,16,19,8
492,846,41,25,12,2
493,149,42,15,14,5
494,150,42,4,16,2
495,142,42,23,5,1
496,146,42,12,7,7
497,147,42,15,5,0
498,145,42,4,0,8
499,613,42,13,19,7
500,618,42,4,13,2
501,620,42,0,17,4
502,612,42,8,15,1
503,619,42,27,10,7
504,614,42,30,14,1
505,741,43,16,8,8
506,748,43,15,12,5
507,749,43,2,19,9
508,743,43,28,1,0
509,747,43,15,9,9
510,744,43,18,7,5
511,349,43,10,19,6
512,348,43,11,2,10
513,347,43,5,19,4
514,341,43,13,16,6
515,350,43,27,17,1
516,342,43,19,12,2
517,123,44,3,14,5
518,127,44,6,19,8
519,125,44,19,19,8
520,130,44,19,5,1
521,129,44,9,3,7
522,124,44,7,11,4
523,626,44,13,9,7
524,628,44,16,4,4
525,621,44,16,17,7
526,625,44,8,18,7
527,623,44,3,2,2
528,629,44,9,20,10
529,907,45,29,0,3
530,903,45,26,10,2
531,906,45,14,10,10
532,904,45,5,13,9
533,905,45,23,6,5
534,901,45,10,10,4
535,916,45,0,20,0
536,920,45,13,19,10
537,919,45,7,15,6
538,915,45,18,1,7
539,914,45,19,18,7
540,913,45,20,12,1
541,488,46,3,13,0
542,485,46,5,10,10
543,487,46,20,1,6
544,484,46,9,13,2
545,490,46,22,3,10
546,486,46,1,0,5
547,196,46,2,16,7
548,193,46,1,17,2
549,191,46,15,0,1
550,192,46,3,19,5
551,195,46,18,2,6
552,199,46,10,18,1
553,924,47,8,10,8
554,926,47,27,7,9
555,927,47,21,7,1
556,929,47,28,19,2
557,921,47,18,16,1
558,930,47,27,2,0
559,979,47,6,16,3
560,978,47,13,8,0
561,973,47,28,18,9
562,980,47,27,17,4
563,976,47,2,1,8
564,974,47,16,16,8
565,287,48,15,15,6
566,281,48,24,17,1
567,282,48,14,9,7
568,290,48,23,3,0
569,289,48,4,2,8
570,284,48,16,6,6
571,780,48,12,13,7
572,777,48,14,12,3
573,775,48,17,15,10
574,772,48,15,11,8
575,779,48,12,3,7
576,774,48,23,10,1
577,639,49,10,16,4
578,631,49,4,5,10
579,636,49,10,5,5
580,633,49,1,20,7
581,635,49,10,15,6
582,638,49,3,8,3
583,609,49,22,7,4
584,607,49,3,10,8
585,610,49,0,12,2
586,601,49,28,18,7
587,608,49,25,13,10
588,602,49,21,14,9
589,747,50,30,8,2
590,745,50,6,18,1
591,750,50,6,11,8
592,746,50,1,6,7
593,749,50,24,17,8
594,741,50,19,11,9
595,910,50,28,3,0
596,904,50,0,3,3
597,903,50,21,5,10
598,909,50,9,13,7
599,905,50,0,11,0
600,908,50,26,9,4
601,633,51,13,16,1
602,635,51,20,4,3
603,639,51,8,6,4
604,637,51,8,14,9
605,638,51,21,7,10
606,640,51,6,12,0
607,13,51,20,1,10
608,19,51,22,7,5
609,20,51,7,4,6
610,14,51,28,1,9
611,17,51,22,1,4
612,18,51,1,10,3
613,915,52,6,17,7
614,919,52,16,4,2
615,916,52,16,10,1
616,918,52,17,8,5
617,911,52,27,7,10
618,914,52,14,16,1
619,652,52,6,2,8
620,658,52,10,2,3
621,654,52,5,8,3
622,656,52,15,5,2
623,660,52,3,5,2
624,655,52,22,6,6
625,51,53,29,15,6
626,52,53,22,7,8
627,54,53,22,17,10
628,56,53,17,11,5
629,55,53,9,0,9
630,57,53,8,3,0
631,691,53,24,10,5
632,692,53,24,0,3
633,695,53,28,6,2
634,693,53,11,15,10
635,696,53,0,14,5
636,694,53,10,8,10
637,71,54,19,15,7
638,76,54,30,14,5
639,75,54,1,18,8
640,74,54,19,13,10
641,72,54,1,13,8
642,80,54,6,16,7
643,942,54,11,14,10
644,946,54,2,16,8
645,941,54,3,8,3
646,948,54,24,18,6
647,943,54,13,5,7
648,949,54,28,15,8
649,511,55,27,1,2
650,512,55,13,15,1
651,517,55,23,14,10
652,513,55,24,15,5
653,515,55,27,9,4
654,520,55,16,1,9
655,654,55,8,17,3
656,658,55,6,12,2
657,660,55,16,2,5
658,655,55,4,9,9
659,651,55,14,11,3
660,656,55,17,1,1
661,307,56,16,7,1
662,304,56,9,15,4
663,303,56,4,10,6
664,302,56,9,13,8
665,309,56,1,20,0
666,308,56,23,13,10
667,994,56,29,17,9
668,998,56,19,13,9
669,999,56,14,19,8
670,995,56,16,3,8
671,997,56,11,19,0
672,992,56,26,10,10
673,63,57,25,1,4
674,69,57,27,20,7
675,65,57,13,11,6
676,70,57,0,5,10
677,61,57,22,18,10
678,66,57,22,14,1
679,205,57,28,15,6
680,204,57,18,7,9
681,206,57,16,7,7
682,207,57,8,19,6
683,201,57,5,17,5
684,209,57,28,20,6
685,812,58,17,10,7
686,811,58,27,2,0
687,820,58,25,5,8
688,817,58,24,13,9
689,815,58,25,17,9
690,818,58,29,17,4
691,465,58,28,6,2
692,463,58,17,0,8
693,468,58,7,20,8
694,469,58,28,15,5
695,470,58,0,12,0
696,467,58,19,19,6
697,693,59,21,3,1
698,700,59,2,8,5
699,695,59,19,6,10
700,691,59,8,16,6
701,698,59,27,7,7
702,697,59,19,6,7
703,803,59,17,3,9
704,801,59,18,11,8
705,802,59,1,10,9
706,807,59,6,15,8
707,808,59,8,5,5
708,810,59,14,7,6
709,378,60,4,8,9
710,377,60,9,13,10
711,375,60,10,0,5
712,371,60,12,2,5
713,379,60,4,19,10
714,376,60,12,15,8
715,807,60,28,18,1
716,802,60,8,17,3
717,809,60,29,16,8
718,801,60,18,3,0
719,804,60,22,15,5
720,808,60,5,20,0
721,204,61,19,15,2
722,201,61,1,7,5
723,206,61,9,8,9
724,209,61,3,3,3
725,208,61,28,15,10
726,205,61,18,6,2
727,551,61,19,10,9
728,554,61,15,2,1
729,557,61,9,15,3
730,558,61,4,16,3
731,553,61,19,16,8
732,560,61,19,0,3
733,664,62,21,13,4
734,668,62,0,14,10
735,663,62,26,20,7
736,662,62,19,9,4
737,666,62,26,8,0
738,661,62,16,4,0
739,69,62,13,19,1
740,66,62,4,4,0
741,63,62,8,19,10
742,68,62,0,0,9
743,65,62,6,16,4
744,61,62,21,6,5
745,789,63,15,3,7
746,790,63,28,14,2
747,786,63,8,18,3
748,781,63,10,1,4
749,785,63,2,17,1
750,783,63,20,3,3
751,797,63,14,6,7
752,800,63,13,15,4
753,791,63,30,10,9
754,793,63,5,16,6
755,795,63,21,9,0
756,798,63,6,9,5
757,230,64,6,19,6
758,222,64,29,11,7
759,225,64,11,6,8
760,223,64,23,16,9
761,228,64,22,11,3
762,226,64,24,16,6
763,697,64,16,8,4
764,693,64,4,18,3
765,695,64,11,18,4
766,694,64,15,6,5
767,696,64,13,0,7
768,692,64,27,8,0
769,463,65,3,15,8
770,470,65,4,16,1
771,467,65,0,14,3
772,464,65,21,2,2
773,461,65,6,16,1
774,466,65,26,5,5
775,658,65,23,11,5
776,652,65,17,0,7
777,654,65,7,3,0
778,659,65,3,7,6
779,657,65,21,17,7
780,660,65,21,14,6
781,742,66,26,13,3
782,750,66,20,11,2
783,745,66,4,15,10
784,749,66,15,3,4
785,744,66,16,7,10
786,746,66,2,0,4
787,654,66,19,5,5
788,651,66,11,9,1
789,656,66,21,16,3
790,653,66,13,11,10
791,655,66,25,13,7
792,660,66,25,8,10
793,254,67,5,6,9
794,253,67,17,1,7
795,255,67,28,0,10
796,260,67,8,13,9
797,251,67,1,16,5
798,258,67,23,4,7
799,603,67,26,3,9
800,604,67,8,3,9
801,605,67,16,14,9
802,610,67,3,6,2
803,601,67,20,20,4
804,602,67,30,2,1
805,292,68,30,18,8
806,298,68,21,7,8
807,295,68,30,17,7
808,291,68,2,15,2
809,296,68,21,8,1
810,293,68,24,11,4
811,645,68,12,11,0
812,641,68,21,4,10
813,647,68,28,4,5
814,644,68,11,15,9
815,648,68,16,20,7
816,646,68,27,15,4
817,974,69,3,7,7
818,979,69,8,0,1
819,972,69,21,12,9
820,971,69,18,17,4
821,977,69,28,5,6
822,976,69,27,18,7
823,420,69,12,13,6
824,413,69,24,15,0
825,414,69,20,20,1
826,412,69,8,15,6
827,419,69,13,19,7
828,411,69,22,18,4
829,208,70,26,3,0
830,203,70,12,2,1
831,204,70,8,5,10
832,207,70,10,3,7
833,209,70,8,8,3
834,206,70,13,7,4
835,195,70,1,19,2
836,199,70,26,0,5
837,193,70,28,15,1
838,194,70,29,13,5
839,197,70,1,8,0
840,200,70,26,2,7
841,625,71,14,3,8
842,626,71,26,17,0
843,628,71,3,8,10
844,623,71,12,12,7
845,629,71,27,18,1
846,630,71,13,19,6
847,671,71,6,20,4
848,672,71,14,9,0
849,673,71,22,9,4
850,676,71,22,15,0
851,677,71,14,14,8
852,675,71,25,20,4
853,443,72,21,4,7
854,441,72,20,17,1
855,449,72,21,2,0
856,448,72,19,4,8
857,446,72,29,13,4
858,450,72,17,10,2
859,569,72,16,12,7
860,562,72,28,12,2
861,567,72,10,6,5
862,565,72,1,12,4
863,568,72,24,2,10
864,561,72,29,17,4
865,35,73,15,1,4
866,32,73,12,12,9
867,34,73,24,2,6
868,39,73,21,7,8
869,38,73,0,4,10
870,36,73,26,15,10
871,857,73,3,4,4
872,860,73,11,15,8
873,851,73,23,3,6
874,852,73,4,11,6
875,859,73,19,20,9
876,858,73,0,14,10
877,480,74,16,10,8
878,472,74,8,17,1
879,475,74,28,20,5
880,477,74,17,4,0
881,479,74,11,1,0
882,471,74,23,11,9
883,840,74,3,14,9
884,839,74,13,17,5
885,837,74,7,13,10
886,832,74,15,17,1
887,836,74,15,6,4
888,833,74,17,8,2
889,455,75,22,15,0
890,452,75,21,15,1
891,460,75,25,18,7
892,457,75,6,19,5
893,454,75,2,7,3
894,456,75,13,20,2
895,6,75,13,17,4
896,7,75,6,9,1
897,4,75,5,17,1
898,8,75,26,7,5
899,9,75,4,20,9
900,2,75,25,17,7
901,641,76,13,7,8
902,646,76,8,10,0
903,647,76,14,4,10
904,650,76,4,7,4
905,648,76,13,15,9
906,649,76,26,1,5
907,406,76,12,5,2
908,403,76,16,8,10
909,404,76,14,2,3
910,401,76,14,2,0
911,405,76,12,8,4
912,410,76,5,4,8
913,37,77,14,0,10
914,35,77,29,1,0
915,38,77,2,0,2
916,32,77,18,11,4
917,31,77,20,17,10
918,36,77,21,10,8
919,955,77,2,17,0
920,956,77,4,19,0
921,954,77,3,13,1
922,952,77,30,7,4
923,958,77,6,0,5
924,957,77,25,20,2
925,258,78,22,7,8
926,255,78,3,9,8
927,259,78,24,18,6
928,254,78,1,18,8
929,260,78,23,11,0
930,253,78,18,16,3
931,104,78,5,7,5
932,102,78,16,17,8
933,101,78,16,16,5
934,108,78,7,3,9
935,103,78,29,8,7
936,105,78,4,2,3
937,456,79,22,5,7
938,460,79,23,6,7
939,458,79,26,9,5
940,453,79,8,10,7
941,455,79,28,7,9
942,459,79,4,13,3
943,959,79,8,7,7
944,957,79,6,19,3
945,952,79,27,11,6
946,956,79,11,16,1
947,960,79,21,10,5
948,953,79,29,7,3
949,248,80,19,18,9
950,249,80,21,9,6
951,250,80,16,10,9
952,246,80,13,5,1
953,245,80,11,9,10
954,244,80,26,4,3
955,529,80,13,15,6
956,522,80,5,11,9
957,526,80,3,18,7
958,521,80,7,20,5
959,525,80,28,14,7
960,527,80,19,1,7
961,360,81,5,8,10
962,359,81,28,2,5
963,356,81,6,11,10
964,352,81,11,18,6
965,357,81,17,7,4
966,354,81,25,16,0
967,734,81,22,14,10
968,740,81,18,13,0
969,732,81,16,1,6
970,736,81,28,8,2
971,735,81,3,2,4
972,733,81,7,6,9
973,964,82,17,18,5
974,963,82,26,13,8
975,968,82,21,18,7
976,970,82,5,1,0
977,962,82,19,17,8
978,966,82,6,10,5
979,515,82,18,20,8
980,514,82,5,16,0
981,517,82,1,8,2
982,518,82,29,5,3
983,520,82,30,3,9
984,511,82,15,7,0
985,449,83,25,15,10
986,444,83,2,11,2
987,441,83,22,9,1
988,448,83,10,2,7
989,450,83,23,7,6
990,443,83,1,16,0
991,458,83,15,4,7
992,457,83,26,15,6
993,452,83,12,19,6
994,453,83,17,9,7
995,456,83,18,12,10
996,454,83,11,13,5
997,440,84,15,8,10
998,431,84,22,19,8
999,435,84,25,0,0
1000,434,84,14,5,6
1001,436,84,5,2,9
1002,439,84,16,17,6
1003,749,84,27,18,9
1004,746,84,0,3,2
1005,747,84,18,15,0
1006,750,84,29,10,10
1007,748,84,5,19,2
1008,743,84,17,8,4
1009,33,85,1,4,0
1010,40,85,29,7,3
1011,39,85,6,12,5
1012,36,85,20,10,7
1013,35,85,15,9,6
1014,37,85,24,2,5
1015,513,85,6,7,10
1016,517,85,22,11,9
1017,514,85,10,6,0
1018,511,85,17,12,4
1019,518,85,17,8,0
1020,516,85,26,10,5
1021,418,86,5,13,6
1022,411,86,20,5,1
1023,415,86,3,9,1
1024,419,86,7,1,1
1025,414,86,17,7,4
1026,417,86,12,20,7
1027,385,86,19,3,9
1028,389,86,0,9,5
1029,384,86,14,17,5
1030,381,86,20,10,9
1031,383,86,10,17,2
1032,382,86,4,4,4
1033,256,87,12,9,0
1034,253,87,9,2,5
1035,254,87,6,18,0
1036,258,87,22,20,0
1037,260,87,7,4,5
1038,257,87,30,3,3
1039,416,87,2,20,0
1040,420,87,7,13,9
1041,414,87,22,11,2
1042,417,87,6,18,2
1043,411,87,0,16,2
1044,412,87,21,20,9
1045,482,88,29,4,3
1046,483,88,19,12,0
1047,489,88,9,18,2
1048,487,88,3,16,1
1049,485,88,9,20,8
1050,486,88,19,4,9
1051,566,88,10,20,6
1052,568,88,14,15,1
1053,570,88,5,10,10
1054,565,88,1,4,10
1055,564,88,19,11,9
1056,562,88,0,14,4
1057,489,89,28,5,7
1058,486,89,2,6,10
1059,490,89,11,6,5
1060,483,89,0,20,0
1061,484,89,30,5,5
1062,487,89,13,8,9
1063,322,89,23,17,8
1064,328,89,21,16,0
1065,325,89,30,12,2
1066,329,89,4,16,5
1067,321,89,24,18,1
1068,327,89,3,17,6
1069,704,90,3,17,10
1070,701,90,20,18,10
1071,709,90,2,1,2
1072,710,90,20,11,7
1073,707,90,0,10,0
1074,706,90,0,9,1
1075,414,90,7,18,10
1076,415,90,12,10,1
1077,411,90,14,17,7
1078,417,90,22,19,2
1079,416,90,19,13,10
1080,420,90,26,17,6
1081,476,91,10,14,4
1082,475,91,11,0,3
1083,477,91,27,18,5
1084,471,91,3,0,1
1085,479,91,0,3,4
1086,474,91,13,3,4
1087,976,91,7,19,10
1088,973,91,13,14,1
1089,979,91,3,13,0
1090,977,91,18,5,2
1091,975,91,23,0,10
1092,974,91,21,16,4
1093,73,92,24,0,5
1094,80,92,22,7,10
1095,77,92,11,18,2
1096,72,92,14,17,2
1097,79,92,26,4,7
1098,74,92,28,9,5
1099,43,92,9,5,9
1100,49,92,3,17,1
1101,47,92,23,5,5
1102,42,92,8,12,4
1103,45,92,5,9,0
1104,41,92,13,8,6
1105,774,93,22,4,3
1106,780,93,8,13,2
1107,777,93,25,16,2
1108,778,93,4,12,5
1109,779,93,18,14,4
1110,771,93,16,16,8
1111,743,93,16,4,6
1112,747,93,2,11,9
1113,748,93,10,7,4
1114,744,93,12,1,9
1115,741,93,27,15,5
1116,742,93,15,11,3
1117,562,94,26,6,9
1118,563,94,22,7,8
1119,569,94,10,8,4
1120,564,94,7,0,2
1121,566,94,27,20,5
1122,561,94,20,8,2
1123,415,94,2,7,10
1124,417,94,19,7,5
1125,414,94,16,11,6
1126,412,94,16,1,5
1127,420,94,13,14,9
1128,411,94,20,8,4
1129,362,95,2,19,9
1130,361,95,15,1,8
1131,367,95,1,15,9
1132,366,95,13,20,7
1133,364,95,25,17,2
1134,368,95,13,17,0
1135,611,95,18,20,10
1136,613,95,6,9,5
1137,618,95,8,3,3
1138,617,95,20,5,4
1139,614,95,3,19,0
1140,615,95,11,3,10
1141,271,96,15,12,8
1142,275,96,0,17,8
1143,276,96,11,10,3
1144,277,96,21,4,0
1145,278,96,25,2,9
1146,273,96,28,10,2
1147,900,96,30,9,7
1148,898,96,3,10,4
1149,893,96,18,11,9
1150,891,96,30,3,8
