match_id,match_date,match_location,home_team_id,away_team_id,match_result
243,2004-08-21,Spencerhaven,1,54,3:0
244,2004-08-28,Humphreybury,43,61,2:3
245,2004-09-04,New Brenda,20,43,0:3
246,2004-09-11,Youngborough,88,4,3:1
247,2004-09-18,Noahborough,13,60,3:0
248,2004-09-25,Christinabury,6,55,0:3
249,2004-10-02,Rodriguezburgh,53,95,0:3
250,2004-10-09,Matthewstad,52,96,3:2
251,2004-10-16,West Bethland,65,25,1:3
252,2004-10-23,Jodiport,97,53,1:3
253,2004-10-30,Espinozatown,56,87,3:1
254,2004-11-06,West Andrewview,56,52,3:1
255,2004-11-13,Bakerborough,15,54,3:1
256,2004-11-20,West Geraldtown,7,14,3:1
257,2004-11-27,Lunaville,76,24,0:3
258,2004-12-04,Dawsonville,15,98,3:1
259,2004-12-11,Durhambury,89,67,1:3
260,2004-12-18,West Jasmine,48,95,1:3
261,2004-12-25,East Sarah,99,63,2:3
262,2005-01-01,West Shannon,1,32,3:2
263,2005-01-08,Goodmantown,80,24,0:3
264,2005-01-15,Charlesstad,8,65,3:0
265,2005-01-22,South Ryan,24,80,0:3
266,2005-01-29,Lake Christianstad,30,81,3:1
267,2005-02-05,Ronniemouth,99,79,3:0
268,2005-02-12,Browninghaven,73,56,0:3
269,2005-02-19,Lynchville,43,23,2:3
270,2005-02-26,Kristenport,74,61,2:3
271,2005-03-05,Benjaminshire,14,87,1:3
272,2005-03-12,North Christopher,57,81,3:2
273,2005-03-19,West Sergio,91,9,3:0
274,2005-03-26,Lake Timothy,89,40,2:3
275,2005-04-02,Edwardston,24,66,3:1
276,2005-04-09,Danielleport,58,60,3:0
277,2005-04-16,Goodmantown,8,11,3:0
278,2005-04-23,Stephentown,33,90,0:3
279,2005-04-30,Lake Lauraville,53,26,0:3
280,2005-05-07,Caseyville,11,27,1:3
281,2005-05-14,Fryestad,51,77,3:0
282,2005-05-21,Lake Rachel,28,57,3:1
283,2005-05-28,West Brandon,8,48,1:3
284,2005-06-04,Victoriahaven,36,14,2:3
285,2005-06-11,Ramoshaven,7,82,1:3
286,2005-06-18,East Krystalfurt,96,16,2:3
287,2005-06-25,Markton,40,8,3:2
288,2005-07-02,Haleystad,46,79,0:3
289,2005-07-09,Alexandershire,56,83,2:3
290,2005-07-16,Millermouth,51,81,1:3
291,2005-07-23,New Rogerhaven,52,4,3:1
292,2005-07-30,Taylorside,61,2,2:3
293,2005-08-06,North Kimberlyview,85,29,0:3
294,2005-08-13,South Brandon,33,36,1:3
295,2005-08-20,Taraland,48,22,2:3
296,2005-08-27,Travisstad,100,41,0:3
297,2005-09-03,East Johnland,87,91,3:0
298,2005-09-10,South Thomasfort,1,96,1:3
299,2005-09-17,West James,75,98,3:1
300,2005-09-24,Mackenziemouth,31,1,3:0
301,2005-10-01,Nelsonmouth,33,97,3:1
302,2005-10-08,Welchmouth,50,29,1:3
303,2005-10-15,Jamesmouth,70,97,3:0
304,2005-10-22,Johnnyhaven,10,43,3:1
305,2005-10-29,Ellisstad,89,33,3:2
306,2005-11-05,Wangborough,76,92,3:2
307,2005-11-12,Pughton,12,86,3:1
308,2005-11-19,North William,16,84,3:1
309,2005-11-26,Ochoaville,59,23,3:1
310,2005-12-03,Lake Mariabury,37,81,3:1
311,2005-12-10,New James,8,40,3:1
312,2005-12-17,Ellenhaven,94,62,2:3
313,2005-12-24,New David,81,41,1:3
314,2005-12-31,Lake Courtney,42,9,3:1
315,2006-01-07,Lake Brandonbury,16,35,3:0
316,2006-01-14,South Rosechester,12,68,3:0
317,2006-01-21,Lake Mollyport,29,9,3:0
318,2006-01-28,Nguyenchester,8,37,3:1
319,2006-02-04,East Michael,63,10,3:0
320,2006-02-11,North Lindaburgh,40,75,0:3
321,2006-02-18,South Jasmine,28,80,3:2
322,2006-02-25,Lake Alyssafurt,53,25,3:1
323,2006-03-04,Aprilstad,11,56,1:3
324,2006-03-11,Ewingside,82,78,3:1
325,2006-03-18,West Jamestown,79,63,3:0
326,2006-03-25,Lake Jeremyton,74,64,2:3
327,2006-04-01,Lake Jorge,59,41,3:0
328,2006-04-08,Elizabethberg,50,23,2:3
329,2006-04-15,South Luisbury,67,1,0:3
330,2006-04-22,Stevenstown,62,50,3:0
331,2006-04-29,Heatherside,70,45,3:1
332,2006-05-06,Jessicastad,6,11,3:1
333,2006-05-13,Glendahaven,50,32,2:3
334,2006-05-20,Elliottstad,10,40,3:1
335,2006-05-27,Olsonview,51,88,0:3
336,2006-06-03,South Renee,77,46,2:3
337,2006-06-10,Port Judyport,49,15,3:1
338,2006-06-17,South Sheilaville,7,52,1:3
339,2006-06-24,Clarkhaven,78,62,3:1
340,2006-07-01,Lake Kellyton,38,26,3:2
341,2006-07-08,Lake Peter,25,63,1:3
342,2006-07-15,Tannermouth,4,41,0:3
343,2006-07-22,Port Barbara,11,47,3:2
344,2006-07-29,Suttontown,50,60,3:1
345,2006-08-05,East Nathanfort,58,74,3:0
346,2006-08-12,Howellfurt,75,47,3:1
347,2006-08-19,Stevenborough,96,74,1:3
348,2006-08-26,Paulville,34,42,1:3
349,2006-09-02,Lindseystad,37,67,0:3
350,2006-09-09,East Feliciatown,24,21,0:3
351,2006-09-16,Nelsonborough,80,56,3:2
352,2006-09-23,South Michaelbury,35,49,3:0
353,2006-09-30,Carlsonberg,12,58,3:1
354,2006-10-07,Clarkton,99,3,3:0
355,2006-10-14,North Austinberg,8,25,0:3
356,2006-10-21,North Alexander,1,89,2:3
357,2006-10-28,Kristinamouth,97,23,3:0
358,2006-11-04,West Monicabury,33,30,1:3
359,2006-11-11,East Amandaport,77,67,1:3
360,2006-11-18,West Barbara,6,81,3:2
361,2006-11-25,East Johnfurt,65,91,2:3
362,2006-12-02,Madisonmouth,17,21,3:2
363,2006-12-09,Port Michelle,34,49,0:3
364,2006-12-16,Josephside,89,66,3:0
365,2006-12-23,South Ashleeburgh,56,15,3:2
366,2006-12-30,West Teresa,26,51,3:1
367,2007-01-06,Ariasport,63,17,1:3
368,2007-01-13,Port Anthony,12,50,2:3
369,2007-01-20,Joshuatown,54,55,3:0
370,2007-01-27,Lake Sharonland,20,37,0:3
371,2007-02-03,Johnsonland,40,91,3:1
372,2007-02-10,Port Amyburgh,91,3,3:1
373,2007-02-17,Lake Matthewborough,15,26,3:2
374,2007-02-24,Garyfort,43,87,1:3
375,2007-03-03,Lake Richardmouth,49,52,3:2
376,2007-03-10,Alisonside,31,54,0:3
377,2007-03-17,Morrisland,25,41,3:2
378,2007-03-24,South Wesleystad,26,56,0:3
379,2007-03-31,Lake Heather,96,31,2:3
380,2007-04-07,Lynnton,92,72,2:3
381,2007-04-14,Donnachester,98,85,3:0
382,2007-04-21,Kimberlyfort,67,4,3:0
383,2007-04-28,New Angela,56,42,3:0
384,2007-05-05,Harrisborough,53,45,0:3
385,2007-05-12,Lake Linda,93,64,3:2
386,2007-05-19,New Ashleyburgh,78,32,1:3
387,2007-05-26,North Adam,29,47,0:3
388,2007-06-02,Thompsonfurt,77,26,2:3
389,2007-06-09,Tinaport,7,44,3:2
390,2007-06-16,West Timothyshire,29,57,3:1
391,2007-06-23,Austinstad,35,30,1:3
392,2007-06-30,West Katherine,37,59,3:2
393,2007-07-07,Allenside,18,7,3:0
394,2007-07-14,East Tammychester,76,4,3:1
395,2007-07-21,Millermouth,31,96,0:3
396,2007-07-28,Davidhaven,70,42,3:2
397,2007-08-04,Benjaminbury,3,57,2:3
398,2007-08-11,East Jason,39,18,2:3
399,2007-08-18,South Brenda,77,15,2:3
400,2007-08-25,Port Jamestown,30,4,2:3
401,2007-09-01,New Allisonhaven,2,76,1:3
402,2007-09-08,East Brookeburgh,71,82,3:0
403,2007-09-15,Wagnerport,30,94,3:2
404,2007-09-22,North Angelaside,74,92,0:3
405,2007-09-29,Jonesbury,73,10,0:3
406,2007-10-06,Lake Meghanborough,5,30,0:3
407,2007-10-13,North Williamfort,95,10,2:3
408,2007-10-20,Garciashire,99,68,2:3
409,2007-10-27,Mooreport,24,7,0:3
410,2007-11-03,Brownview,60,13,3:1
411,2007-11-10,East Melvinborough,22,57,2:3
412,2007-11-17,Melissaberg,15,42,0:3
413,2007-11-24,Susanburgh,81,74,0:3
414,2007-12-01,Joditon,38,83,3:2
415,2007-12-08,South Barbara,100,64,3:2
416,2007-12-15,Ashleeville,31,47,0:3
417,2007-12-22,Travisburgh,95,96,3:0
418,2007-12-29,South Valerie,3,30,3:2
419,2008-01-05,Sydneytown,91,67,2:3
420,2008-01-12,Patrickborough,42,63,3:1
421,2008-01-19,Leemouth,21,96,3:0
422,2008-01-26,Leslieberg,15,72,2:3
423,2008-02-02,Port Derek,82,15,3:0
424,2008-02-09,Beckyshire,31,53,3:1
425,2008-02-16,New Michael,53,43,3:0
426,2008-02-23,South Kennethborough,28,90,3:1
427,2008-03-01,Port Amy,82,28,1:3
428,2008-03-08,East Ryanhaven,57,40,3:0
429,2008-03-15,New Nicholas,29,61,3:1
430,2008-03-22,Hendersonburgh,2,98,1:3
431,2008-03-29,Lake Rachel,59,79,3:0
432,2008-04-05,West Stephenborough,17,82,0:3
433,2008-04-12,Port Elizabeth,61,73,1:3
434,2008-04-19,Lake Keithview,61,20,3:1
435,2008-04-26,Gonzalezhaven,67,30,2:3
436,2008-05-03,East Jared,19,36,2:3
437,2008-05-10,South Kimberly,73,14,3:1
438,2008-05-17,West Mistybury,91,59,1:3
439,2008-05-24,Englishshire,36,100,3:2
440,2008-05-31,Jasonview,45,56,3:1
441,2008-06-07,Thomasfurt,3,51,0:3
442,2008-06-14,Summershaven,84,53,2:3
443,2008-06-21,West Amy,14,49,0:3
444,2008-06-28,Wernerchester,12,48,1:3
445,2008-07-05,West Tammy,79,80,3:1
446,2008-07-12,Jasonside,88,95,3:2
447,2008-07-19,Robertmouth,29,70,3:0
448,2008-07-26,East Barbara,76,83,3:0
449,2008-08-02,Tuckerfort,88,97,0:3
450,2008-08-09,Stewartstad,96,41,3:1
451,2008-08-16,Lake Christinabury,11,83,1:3
452,2008-08-23,Port Dustinstad,40,57,3:2
453,2008-08-30,Alexborough,6,30,3:2
454,2008-09-06,Davidmouth,100,59,2:3
455,2008-09-13,West Rodney,67,12,3:1
456,2008-09-20,Justinhaven,89,90,0:3
457,2008-09-27,New Paulchester,82,66,2:3
458,2008-10-04,West Lesliefort,66,54,1:3
459,2008-10-11,Moralesfort,54,31,3:1
460,2008-10-18,Tylertown,44,36,2:3
461,2008-10-25,North Brentland,78,53,3:1
462,2008-11-01,Hernandezland,2,57,3:1
463,2008-11-08,New Jeffrey,79,16,0:3
464,2008-11-15,Peterhaven,58,52,3:0
465,2008-11-22,Potterburgh,53,13,0:3
466,2008-11-29,Lake Patricia,53,64,2:3
467,2008-12-06,Simonfurt,87,53,3:2
468,2008-12-13,Mitchelltown,98,60,1:3
469,2008-12-20,East Marthaside,93,90,2:3
470,2008-12-27,Darleneberg,93,95,2:3
471,2009-01-03,West Justinfort,100,30,3:1
472,2009-01-10,Andrewbury,60,26,3:0
473,2009-01-17,North Randyton,47,31,2:3
474,2009-01-24,Williamsstad,4,13,3:1
475,2009-01-31,Lake Heather,7,33,3:0
476,2009-02-07,South Micheleberg,2,6,3:0
477,2009-02-14,Seanbury,44,95,2:3
478,2009-02-21,West Michelleland,64,17,3:1
479,2009-02-28,North Nathan,31,6,1:3
480,2009-03-07,Lake Anthonychester,6,100,3:2
481,2009-03-14,Amandaborough,32,34,3:2
482,2009-03-21,Connorport,50,73,3:0
483,2009-03-28,East Ericport,26,36,0:3
484,2009-04-04,Lake Bryan,13,76,3:1
485,2009-04-11,Port Justinton,80,90,3:2
486,2009-04-18,Jillianton,84,12,3:0
487,2009-04-25,North Jonathonmouth,27,60,3:0
488,2009-05-02,South Beth,48,44,1:3
489,2009-05-09,Dixonview,47,60,3:2
490,2009-05-16,South Jessica,81,96,3:1
491,2009-05-23,Thomasstad,92,20,0:3
492,2009-05-30,Sandersborough,64,83,3:0
493,2009-06-06,North Jennifer,95,64,3:0
494,2009-06-13,Woodardmouth,1,58,3:0
495,2009-06-20,Moorefort,63,21,3:2
496,2009-06-27,Gwendolynmouth,67,78,3:1
497,2009-07-04,Port Shannonmouth,52,14,0:3
498,2009-07-11,Williamsville,40,89,1:3
499,2009-07-18,Tracymouth,66,13,2:3
500,2009-07-25,Elizabethmouth,29,67,2:3
501,2009-08-01,North Melissachester,99,83,3:0
502,2009-08-08,New Theresa,86,39,1:3
503,2009-08-15,Fosterside,34,68,1:3
504,2009-08-22,Port John,12,82,3:1
505,2009-08-29,Port Kimberly,25,36,3:0
506,2009-09-05,South Josephfurt,8,88,3:2
507,2009-09-12,New Lisatown,21,61,3:2
508,2009-09-19,West Kyle,90,18,1:3
509,2009-09-26,North Spencer,18,85,3:0
510,2009-10-03,Davidville,1,6,3:1
511,2009-10-10,North Richard,73,42,0:3
512,2009-10-17,South Darrell,27,19,3:2
513,2009-10-24,Bradleyburgh,95,73,0:3
514,2009-10-31,Jeremymouth,55,88,2:3
515,2009-11-07,Stephenborough,28,10,0:3
516,2009-11-14,West Alison,57,19,2:3
517,2009-11-21,Port Beth,93,56,3:2
518,2009-11-28,North Timothy,22,57,0:3
519,2009-12-05,Port Joshua,22,74,2:3
520,2009-12-12,Ferrellberg,99,23,1:3
521,2009-12-19,Gonzalesside,45,75,0:3
522,2009-12-26,Stevenbury,39,32,2:3
523,2010-01-02,Lake Maureenborough,9,11,3:2
524,2010-01-09,West Stacyport,100,60,3:2
525,2010-01-16,East Josephland,7,43,0:3
526,2010-01-23,Hartmanchester,41,96,3:2
527,2010-01-30,New Kelly,96,12,3:0
528,2010-02-06,Coxchester,92,29,1:3
529,2010-02-13,Heberttown,21,97,0:3
530,2010-02-20,Lake Melissa,45,28,3:1
531,2010-02-27,South Michaelfurt,76,59,0:3
532,2010-03-06,West Roberthaven,6,76,2:3
533,2010-03-13,Lopezview,74,57,3:2
534,2010-03-20,Lake Paul,65,89,0:3
535,2010-03-27,Chavezmouth,5,66,3:0
536,2010-04-03,Lake Jo,13,33,1:3
537,2010-04-10,New Marktown,60,42,3:0
538,2010-04-17,Lake Karenport,97,68,1:3
539,2010-04-24,Triciaville,62,86,3:0
540,2010-05-01,North Staceybury,81,43,3:1
541,2010-05-08,Kochport,71,57,2:3
542,2010-05-15,South Davidfort,29,71,3:1
543,2010-05-22,West Brian,42,47,3:2
544,2010-05-29,Coreyton,12,73,1:3
545,2010-06-05,Spencerport,55,20,1:3
546,2010-06-12,Heathermouth,89,59,3:1
547,2010-06-19,Grahamview,5,33,1:3
548,2010-06-26,East Timothybury,22,64,2:3
549,2010-07-03,North Josephfurt,1,45,3:2
550,2010-07-10,Gallegosborough,61,10,3:0
551,2010-07-17,North Jerryfurt,76,65,3:2
552,2010-07-24,Jeffreyport,76,58,3:1
553,2010-07-31,Phillipston,30,86,3:2
554,2010-08-07,Anneside,75,55,2:3
555,2010-08-14,Cruzport,16,68,0:3
556,2010-08-21,Scottton,3,20,3:2
557,2010-08-28,Davidtown,80,14,3:0
558,2010-09-04,Lamberg,15,51,2:3
559,2010-09-11,East Davidburgh,76,65,3:1
560,2010-09-18,Tracytown,77,44,0:3
561,2010-09-25,South Robertmouth,70,2,3:2
562,2010-10-02,North Michael,96,41,3:0
563,2010-10-09,Paulland,55,81,0:3
564,2010-10-16,East Georgechester,7,80,1:3
565,2010-10-23,New Jenniferbury,86,4,3:0
566,2010-10-30,Maciasmouth,8,98,1:3
567,2010-11-06,Gailberg,72,81,3:1
568,2010-11-13,Russellfurt,73,57,3:1
569,2010-11-20,Davisfurt,53,40,3:2
570,2010-11-27,Johnmouth,23,24,3:1
571,2010-12-04,East Williambury,33,66,3:2
572,2010-12-11,Lake Wesleyside,26,25,3:1
573,2010-12-18,Andrewside,8,86,3:1
574,2010-12-25,Ellisonberg,32,38,3:1
575,2011-01-01,New Michelle,42,34,2:3
576,2011-01-08,Andreafort,33,64,3:2
577,2011-01-15,South Michael,17,37,3:1
578,2011-01-22,East Tammy,84,94,3:2
579,2011-01-29,Higginsburgh,38,73,3:0
580,2011-02-05,Lake William,22,46,2:3
581,2011-02-12,South William,79,87,2:3
582,2011-02-19,Port Rachel,51,25,3:0
